도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구
11010,21.86775373179066,46.04621901164998,5471640,11521454.69
11020,21.524816865605217,46.214336045098975,5368440,11526178.91
11030,21.820457545094587,38.412082050153984,4959790,8731066.25
11040,22.150334205298154,44.717847166257975,5139830,10376463.41
11050,22.81056768360555,50.04332550373685,5020720,11014786.16
11060,22.149240721002187,41.03727980046001,5132710,9509691.96
11070,23.887740958112836,43.63915705238858,4635870,8469007.57
11080,22.716320585566617,48.931749449728876,5232500,11270988.1
11090,24.355288963185124,42.21631894936384,4458260,7727739.4
11100,25.138206180366293,40.19425729173716,4086140,6533455.94
11110,24.66204089707898,59.026631054835626,5235480,12530704.48
11120,24.993078182325416,55.01815337484669,4748160,10452293.76
11130,22.411313822374257,46.13484366798791,4952990,10195984.99
11140,22.30796403339756,60.518839193962755,5557360,15076453.22
11150,23.20939417523017,49.14047664427185,4383860,9281800.65
11160,25.52039629750221,65.15797251034932,5486630,14008312.51
11170,23.162535841941946,45.008291763227156,4717560,9166928.8
11180,24.28381937369038,32.821421531876176,3789660,5122012.58
11190,21.74557132905389,61.73690093394678,5525180,15686297.0
11200,22.059055803183018,45.116261628451724,4944030,10111772.37
11210,23.48072469318161,53.02488821416197,5150450,11630903.18
11220,23.119681388945068,72.51279049145133,5944440,18644198.64
11230,23.418794242482804,104.43729652931366,6543820,29182496.02
11240,25.735699041029726,94.93823987879738,6234190,22997744.29
11250,25.931700945451578,73.45083590573036,5082380,14395702.78
